- PID: 0	Name: Idle	Virtual memory: 0,01 MB
- PID: 7768	Name: svchost	Virtual memory: 2.101.336,95 MB
- PID: 8916	Name: dllhost	Virtual memory: 2.101.596,66 MB
- PID: 9464	Name: svchost	Virtual memory: 2.101.363,39 MB
- PID: 9736	Name: svchost	Virtual memory: 2.101.322,22 MB
- PID: 9800	Name: svchost	Virtual memory: 2.101.386,89 MB
- PID: 10148	Name: svchost	Virtual memory: 2.101.330,32 MB
- PID: 11348	Name: svchost	Virtual memory: 2.101.382,38 MB
- PID: 12100	Name: SearchIndexer	Virtual memory: 2.101.796,76 MB
- PID: 11524	Name: svchost	Virtual memory: 2.101.396,07 MB
- PID: 11960	Name: SecurityHealthService	Virtual memory: 2.101.371,12 MB
- PID: 18688	Name: svchost	Virtual memory: 2.101.347,37 MB
- PID: 5260	Name: SgrmBroker	Virtual memory: 2.101.318,01 MB
- PID: 13920	Name: svchost	Virtual memory: 2.101.338,93 MB
- PID: 21560	Name: svchost	Virtual memory: 2.101.343,02 MB
- PID: 7920	Name: svchost	Virtual memory: 2.101.857,70 MB
- PID: 14332	Name: svchost	Virtual memory: 2.101.369,08 MB
- PID: 27732	Name: svchost	Virtual memory: 2.101.332,85 MB
- PID: 11428	Name: svchost	Virtual memory: 2.101.327,91 MB
- PID: 19104	Name: svchost	Virtual memory: 2.101.322,80 MB
- PID: 30628	Name: svchost	Virtual memory: 2.101.319,62 MB
- PID: 40644	Name: svchost	Virtual memory: 2.101.341,21 MB
- PID: 38036	Name: svchost	Virtual memory: 2.101.334,37 MB
- PID: 34612	Name: svchost	Virtual memory: 2.101.335,88 MB
- PID: 7432	Name: svchost	Virtual memory: 2.101.335,29 MB
- PID: 12296	Name: MsMpEng	Virtual memory: 2.102.169,01 MB
- PID: 35152	Name: NisSrv	Virtual memory: 2.101.361,18 MB
- PID: 40064	Name: MoUsoCoreWorker	Virtual memory: 2.101.378,83 MB
- PID: 47840	Name: MpCopyAccelerator	Virtual memory: 2.101.312,41 MB
- PID: 54960	Name: csrss	Virtual memory: 2.101.403,48 MB
- PID: 59560	Name: winlogon	Virtual memory: 2.101.348,91 MB
- PID: 61756	Name: fontdrvhost	Virtual memory: 2.101.342,32 MB
- PID: 62084	Name: dwm	Virtual memory: 2.101.809,02 MB
- PID: 60220	Name: NVDisplay.Container	Virtual memory: 2.101.648,85 MB
- PID: 1056	Name: svchost	Virtual memory: 2.101.315,83 MB
- PID: 57888	Name: Corsair.Service.DisplayAdapter	Virtual memory: 196,41 MB
- PID: 47196	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 59264	Name: Corsair.Service.CpuIdRemote64	Virtual memory: 4.846,58 MB
- PID: 5172	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 50776	Name: nvcontainer	Virtual memory: 2.101.532,82 MB
- PID: 52332	Name: sihost	Virtual memory: 2.101.409,06 MB
- PID: 60940	Name: svchost	Virtual memory: 2.101.426,58 MB
- PID: 64620	Name: svchost	Virtual memory: 2.101.337,68 MB
- PID: 45676	Name: svchost	Virtual memory: 2.101.437,10 MB
- PID: 45700	Name: taskhostw	Virtual memory: 2.101.636,14 MB
- PID: 29928	Name: Razer Synapse Service Process	Virtual memory: 356,38 MB
- PID: 53164	Name: wallpaper32	Virtual memory: 224,63 MB
- PID: 18972	Name: explorer	Virtual memory: 2.102.685,69 MB
- PID: 39528	Name: ctfmon	Virtual memory: 2.101.401,95 MB
- PID: 51732	Name: svchost	Virtual memory: 2.101.405,37 MB
- PID: 11504	Name: NVIDIA Web Helper	Virtual memory: 290,57 MB
- PID: 52192	Name: conhost	Virtual memory: 2.101.347,98 MB
- PID: 41140	Name: ApCent	Virtual memory: 544,97 MB
- PID: 55824	Name: StartMenuExperienceHost	Virtual memory: 2.101.584,62 MB
- PID: 2676	Name: RuntimeBroker	Virtual memory: 2.101.390,92 MB
- PID: 548	Name: SearchApp	Virtual memory: 2.135.217,12 MB
- PID: 36924	Name: RuntimeBroker	Virtual memory: 2.101.519,05 MB
- PID: 11908	Name: RuntimeBroker	Virtual memory: 2.101.395,48 MB
- PID: 48624	Name: svchost	Virtual memory: 2.101.892,84 MB
- PID: 10900	Name: TextInputHost	Virtual memory: 2.101.658,57 MB
- PID: 48492	Name: SecurityHealthSystray	Virtual memory: 2.101.352,25 MB
- PID: 32928	Name: RtkAudUService64	Virtual memory: 4.214,59 MB
- PID: 65336	Name: StreamDeck	Virtual memory: 4.761,10 MB
- PID: 41440	Name: QtWebEngineProcess	Virtual memory: 4.386,37 MB
- PID: 55536	Name: QtWebEngineProcess	Virtual memory: 8.492,93 MB
- PID: 59636	Name: icue_streamdeck_plugin	Virtual memory: 4.223,30 MB
- PID: 25812	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 21024	Name: QtWebEngineProcess	Virtual memory: 12.584,93 MB
- PID: 37524	Name: ESDDiscord	Virtual memory: 4.222,97 MB
- PID: 59952	Name: hwinfo	Virtual memory: 4.815,17 MB
- PID: 49172	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 63332	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 61824	Name: GoveeController	Virtual memory: 2.101.940,84 MB
- PID: 2540	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 10256	Name: com.nicollasr.streamdeckvs	Virtual memory: 4.726,04 MB
- PID: 22328	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 54744	Name: com.nicollasr.streamdeckvsc	Virtual memory: 2.101.806,78 MB
- PID: 56492	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 17784	Name: hwinfo-plugin	Virtual memory: 4.826,80 MB
- PID: 14892	Name: voicemodplugin	Virtual memory: 4.196,63 MB
- PID: 55760	Name: twitchstudiostreamdeck	Virtual memory: 4.179,18 MB
- PID: 44632	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 46544	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 54080	Name: QtWebEngineProcess	Virtual memory: 8.499,29 MB
- PID: 31300	Name: iCUE	Virtual memory: 5.661,93 MB
- PID: 2164	Name: Discord	Virtual memory: 541,50 MB
- PID: 55192	Name: steam	Virtual memory: 398,14 MB
- PID: 41644	Name: Discord	Virtual memory: 277,78 MB
- PID: 45764	Name: Discord	Virtual memory: 695,24 MB
- PID: 58920	Name: Discord	Virtual memory: 318,28 MB
- PID: 58464	Name: steamwebhelper	Virtual memory: 4.552,12 MB
- PID: 58640	Name: steamservice	Virtual memory: 58,38 MB
